PLAYER_AGE,GP,SEASON_START_YEAR,PLAYER_NAME,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME,is_traded
22.0,82,1986,A.C. Green,18.8,2.55,4.73,0.01,0.07,1.24,2.04,1.95,2.7,4.65,0.66,0.6,0.6,1.21,2.79,6.35,0
23.0,79,1987,A.C. Green,28.35,4.0,7.43,0.0,0.06,2.78,3.57,2.66,5.13,7.78,1.06,0.89,1.01,1.29,2.16,10.78,0
24.0,82,1988,A.C. Green,32.15,3.93,7.8,0.0,0.02,3.57,4.62,2.99,5.67,8.66,1.13,1.06,0.55,1.46,2.49,11.43,0
25.0,82,1989,A.C. Green,30.61,4.89,9.24,0.05,0.21,3.44,4.38,3.15,5.87,9.01,1.26,1.15,0.67,1.45,2.1,13.27,0
26.0,82,1990,A.C. Green,33.04,4.7,9.83,0.16,0.56,3.39,4.51,3.2,5.49,8.68,1.1,0.8,0.61,1.41,2.52,12.94,0
27.0,82,1991,A.C. Green,26.39,3.15,6.61,0.13,0.67,2.72,3.68,2.45,3.84,6.29,0.87,0.72,0.28,1.21,1.43,9.15,0
28.0,82,1992,A.C. Green,35.39,4.66,9.79,0.15,0.68,4.15,5.57,3.73,5.56,9.29,1.43,1.11,0.44,1.35,1.72,13.61,0
29.0,82,1993,A.C. Green,34.38,4.62,8.61,0.2,0.56,3.38,4.57,3.5,5.17,8.67,1.41,1.07,0.48,1.41,1.82,12.82,0
30.0,82,1994,A.C. Green,34.45,5.67,11.29,0.1,0.43,3.24,4.41,3.35,5.83,9.18,1.67,0.85,0.46,1.22,1.73,14.68,0
31.0,82,1995,A.C. Green,32.77,3.79,7.52,0.52,1.55,3.06,4.18,2.37,5.79,8.16,1.55,0.67,0.38,1.39,1.78,11.17,0
32.0,82,1996,A.C. Green,25.77,2.62,5.41,0.17,0.63,2.05,2.89,2.02,4.73,6.76,0.88,0.55,0.28,0.96,1.72,7.46,0
33.0,83,1997,A.C. Green,30.05,2.82,5.83,0.01,0.24,1.54,2.37,2.67,5.23,7.9,0.83,0.84,0.19,0.89,1.75,7.19,1
34.0,82,1998,A.C. Green,32.3,2.95,6.51,0.0,0.05,1.41,1.98,2.67,5.48,8.15,1.5,0.95,0.33,0.83,1.91,7.32,0
35.0,50,1999,A.C. Green,18.48,2.16,5.12,0.0,0.16,0.6,1.04,1.64,2.92,4.56,0.5,0.56,0.16,0.38,1.38,4.92,0
36.0,82,2000,A.C. Green,23.52,2.11,4.72,0.01,0.05,0.8,1.16,1.95,3.98,5.93,0.98,0.65,0.22,0.65,1.55,5.04,0
37.0,82,2001,A.C. Green,17.22,1.76,3.95,0.0,0.07,0.96,1.35,1.3,2.51,3.82,0.48,0.37,0.1,0.55,1.45,4.48,0
23.0,8,2000,A.J. Bramlett,7.62,0.5,2.62,0.0,0.0,0.0,0.0,1.5,1.25,2.75,0.0,0.12,0.0,0.38,1.62,1.0,0
23.0,70,1991,A.J. English,20.61,3.59,8.17,0.04,0.44,1.59,2.24,0.94,1.16,2.1,2.53,0.36,0.21,1.63,1.81,8.8,0
24.0,81,1992,A.J. English,20.56,4.52,10.44,0.07,0.42,1.83,2.17,0.91,1.16,2.07,1.77,0.4,0.11,1.1,1.98,10.94,0
23.0,33,2001,A.J. Guyton,19.06,2.36,5.82,0.82,2.09,0.45,0.55,0.3,0.79,1.09,1.94,0.27,0.15,0.73,1.06,6.0,0
24.0,45,2002,A.J. Guyton,13.42,1.96,5.42,1.02,2.73,0.49,0.6,0.27,0.71,0.98,1.8,0.22,0.16,0.82,0.51,5.42,0
25.0,2,2003,A.J. Guyton,4.5,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0
22.0,15,2023,A.J. Lawson,7.2,1.47,2.93,0.67,1.67,0.13,0.53,0.4,1.0,1.4,0.13,0.13,0.0,0.2,0.73,3.73,1
23.0,42,2024,A.J. Lawson,7.4,1.29,2.88,0.31,1.19,0.36,0.55,0.33,0.86,1.19,0.48,0.24,0.07,0.33,0.52,3.24,0
24.0,6,2025,A.J. Lawson,5.17,0.67,1.67,0.33,0.83,0.17,0.5,0.17,0.5,0.67,0.0,0.0,0.0,0.17,0.33,1.83,0
26.0,6,1991,A.J. Wynder,6.5,0.5,2.0,0.0,0.17,1.0,1.33,0.17,0.33,0.5,1.33,0.17,0.0,0.67,0.17,2.0,0
23.0,35,2023,AJ Green,9.86,1.51,3.57,1.26,3.0,0.11,0.11,0.17,1.11,1.29,0.63,0.17,0.0,0.26,0.89,4.4,0
24.0,56,2024,AJ Green,10.96,1.48,3.5,1.23,3.02,0.3,0.34,0.16,0.98,1.14,0.54,0.16,0.07,0.21,0.88,4.5,0
25.0,52,2025,AJ Green,22.63,2.58,6.04,2.17,5.15,0.37,0.4,0.25,2.04,2.29,1.31,0.54,0.12,0.52,2.25,7.69,0
19.0,72,2023,AJ Griffin,19.46,3.44,7.4,1.4,3.6,0.58,0.65,0.51,1.61,2.12,1.01,0.58,0.17,0.58,1.21,8.88,0
20.0,20,2024,AJ Griffin,8.55,0.9,3.1,0.5,1.95,0.1,0.1,0.1,0.8,0.9,0.25,0.05,0.1,0.4,0.3,2.4,0
24.0,22,2017,AJ Hammons,7.41,0.77,1.91,0.23,0.45,0.41,0.91,0.36,1.27,1.64,0.18,0.05,0.59,0.45,0.95,2.18,0
20.0,10,2025,AJ Johnson,7.0,1.1,2.7,0.4,1.0,0.1,0.2,0.0,0.9,0.9,1.2,0.1,0.0,0.5,0.5,2.7,1
23.0,56,2010,AJ Price,15.45,2.59,6.32,1.07,3.11,1.07,1.34,0.21,1.36,1.57,1.89,0.62,0.05,1.05,0.95,7.32,0
24.0,50,2011,AJ Price,15.9,2.28,6.4,0.82,2.98,1.08,1.62,0.32,1.12,1.44,2.22,0.58,0.02,1.06,1.22,6.46,0
25.0,44,2012,AJ Price,12.91,1.34,3.95,0.59,2.0,0.64,0.8,0.3,1.09,1.39,1.95,0.45,0.05,0.73,0.68,3.91,0
26.0,57,2013,AJ Price,22.42,2.82,7.25,1.23,3.51,0.86,1.09,0.35,1.65,2.0,3.6,0.58,0.05,1.12,1.28,7.74,0
27.0,28,2014,AJ Price,3.54,0.68,1.64,0.21,0.79,0.0,0.07,0.04,0.32,0.36,0.46,0.04,0.0,0.25,0.18,1.57,0
