GP,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME,PLAYER_NAME,SEASON_START_YEAR
38.519028,13.545681,1.9894972,4.6578393,0.6598743,1.955286,0.63932484,0.939381,0.48558843,1.4769146,1.9560307,1.0546963,0.4109901,0.14501393,0.6025624,1.1203439,5.3259125,A.J. Lawson,2025
46.13817,14.584068,1.9557465,5.0870023,1.2642405,3.473762,0.43043804,0.566656,0.27577782,1.4605302,1.6883044,1.0171204,0.37431926,0.08949754,0.49702007,1.1124103,5.703643,AJ Green,2025
40.148506,13.315868,2.1243062,5.266249,0.9836751,2.936609,0.5319083,0.6805662,0.277021,1.4588776,1.8127824,1.0273485,0.36759624,0.16182584,0.5277134,0.8919802,5.6379766,AJ Griffin,2025
63.271713,30.22969,5.1811714,10.571379,0.74790186,2.1341295,2.335477,3.0697503,2.0129876,4.5415087,6.4691315,3.0837488,0.72413903,0.58433086,1.465544,1.878518,13.605254,Aaron Gordon,2025
57.68646,18.0207,2.3650832,5.641645,1.0151074,2.7598376,0.7744586,0.9873886,0.29585773,1.420738,1.6790748,1.8707463,0.59494907,0.1352916,0.8256614,1.4657894,6.3258047,Aaron Holiday,2025
64.56959,26.042011,3.9227934,8.961813,1.6341143,4.429041,1.5601348,1.8118069,0.79158884,2.976627,3.7137277,1.4548454,0.8196994,0.5170613,1.0994446,2.7326758,10.983726,Aaron Nesmith,2025
62.412247,19.959711,2.9163764,6.582805,0.8855853,2.381747,0.9675489,1.2668922,0.80879796,2.0744112,2.8722906,1.4100261,0.6879145,0.25042066,0.82768434,1.4483845,7.6915517,Aaron Wiggins,2025
23.933958,11.174876,1.3896376,3.908702,0.763155,2.311686,0.4979614,0.44596565,0.16499168,1.0308559,1.1335897,1.3052489,0.3622665,0.056789607,0.55697906,0.8281115,3.720142,Adam Flagler,2025
33.966145,11.1849375,1.6767483,3.3107007,-0.030839205,0.045238018,0.7361547,1.3200176,1.4216441,2.1150706,3.5157266,0.04190314,0.278534,0.28304535,0.5423383,1.4229009,3.9446216,Adama Sanogo,2025
27.605593,9.950263,1.2208787,3.0522358,0.526166,1.4605504,0.43428564,0.6030685,0.41043234,1.2003118,1.6469468,0.73986626,0.23299748,0.14233935,0.44210082,1.0289618,3.2596607,Admiral Schofield,2025
56.93295,18.26254,2.103498,4.6399765,1.1619573,3.1763096,0.42536533,0.59417963,1.0101488,3.769611,4.701321,1.7909558,0.48040587,0.72843367,0.6646072,1.4407686,6.244417,Al Horford,2025
50.71752,18.568653,2.6806808,6.322436,1.4912486,4.025834,1.4868215,1.8215586,0.27090967,2.0725715,2.3593087,1.3702328,0.43816286,0.121519744,0.68884826,1.2695723,7.8882093,Alec Burks,2025
34.337738,13.305365,2.1875534,4.2943234,0.66270137,2.1622643,0.6762975,0.896906,0.74430335,2.4011042,3.3028467,1.2293324,0.39520314,0.5473309,0.608219,1.0176816,5.4517117,Aleksej Pokusevski,2025
66.226204,28.609272,3.0464635,7.4560437,1.4872236,4.1596437,1.1525173,1.5226288,0.80575156,2.8940792,3.7514923,3.1855214,1.5052953,0.70290244,1.4018157,2.423972,9.048883,Alex Caruso,2025
26.190392,10.78093,1.4163625,3.2732663,0.3040706,0.97636914,0.57045454,0.7484665,0.5526021,1.1569455,1.7106359,0.69308794,0.4010951,0.09380409,0.5562971,1.0599071,3.5976434,Alex Fudge,2025
29.42457,8.787515,0.93056726,1.9590273,0.0049728155,0.057762504,0.39347625,0.6894413,0.7988152,1.6269464,2.411025,0.46455646,0.19458196,0.5005577,0.4590792,1.3649819,2.2763548,Alex Len,2025
20.805607,9.830222,1.2020407,2.8163652,0.21151769,0.76085895,0.5452149,0.7866925,0.46054387,1.127765,1.6432135,0.76877403,0.3076984,0.24351466,0.69730806,1.1035347,3.0741677,Alondes Williams,2025
65.35469,35.59971,8.339622,16.241962,0.60813236,1.848858,4.3615427,5.815913,2.7783914,6.7601,9.612189,4.718829,1.2818494,0.7916847,2.95408,3.2764711,21.578829,Alperen Sengun,2025
32.679752,12.055126,1.6789063,3.896394,0.297413,0.9932319,0.7650801,1.0430809,0.6178913,1.2947668,1.8969295,1.0086045,0.43913364,0.15195698,0.70978045,1.1149247,4.25528,Amari Bailey,2025
66.84534,28.192402,4.736142,9.531091,0.27380127,0.88499796,2.1133661,3.104023,2.3093784,4.829431,7.1509447,2.9491274,1.2214899,0.6995716,1.8426361,2.5736601,11.832989,Amen Thompson,2025
56.695194,18.662462,2.1883245,5.238286,0.9663594,2.5822594,0.8790832,1.1051313,0.37580663,1.6772673,2.024467,1.1291296,0.5077713,0.16952537,0.5688569,1.3351544,6.2516756,Amir Coffey,2025
59.956123,20.409067,2.9661398,5.7599382,0.00014519691,0.009254098,1.4713112,2.4103765,2.9544628,5.321966,8.466604,0.72547483,0.7549122,0.57728106,1.1600189,2.065711,7.473725,Andre Drummond,2025
47.61886,13.006748,1.4821467,3.5257912,0.3610795,1.0031519,0.5173596,0.8113786,0.7539958,1.6298952,2.3733096,1.0172367,0.40468243,0.22237076,0.68812907,1.5754008,3.916695,Andre Jackson Jr.,2025
24.7828,10.0185375,1.2614752,3.0686793,0.29018188,0.92003495,0.5655124,0.73732305,0.4863326,1.178832,1.7453675,0.8077539,0.32358924,0.2063437,0.5900434,1.0543516,3.3506045,Andrew Funk,2025
63.157387,23.820316,3.6022673,8.440114,1.0582685,2.9322429,0.8068122,1.0866807,0.3870898,1.7317398,2.0897021,3.9286435,0.8614248,0.12975472,1.5100558,1.9422106,9.241623,Andrew Nembhard,2025
59.49886,27.914547,5.0301175,10.912883,1.4563771,3.930736,1.5778239,2.094152,1.1754549,3.039385,4.2431417,1.4788221,0.71950674,0.611287,1.1672163,1.993795,13.112164,Andrew Wiggins,2025
59.36924,30.59718,7.2706957,16.176132,3.132858,8.151348,2.9248838,3.5009885,0.3975966,2.8493135,3.2953324,4.8351374,0.597722,0.15698114,2.2406235,2.017006,20.576977,Anfernee Simons,2025
61.122322,19.180267,2.3899143,5.700605,0.6865449,2.0024533,1.0785599,1.4683833,0.62478137,2.0174055,2.5922747,1.7254417,0.63488317,0.325432,1.0100749,1.7370348,6.5413666,Anthony Black,2025
64.4173,35.020714,8.756562,16.801956,0.41036636,1.1164391,4.8991857,6.7409477,2.7622755,8.69087,11.422914,3.5800614,1.1376971,2.001556,2.055906,2.2279696,23.297806,Anthony Davis,2025
64.11957,36.633297,9.284268,20.321064,2.7934859,7.670925,5.280571,6.416601,0.78913736,4.818232,5.507053,5.467191,1.3045485,0.55253494,3.0283659,2.0216832,26.804949,Anthony Edwards,2025
39.36362,10.934313,1.37819,3.2044983,0.2679292,0.65283656,0.5968645,0.885239,0.6233252,1.285892,1.8996714,0.66982925,0.2571243,0.18899009,0.49215937,1.2197059,3.804666,Anthony Gill,2025
27.547033,11.364924,1.6189725,3.8912694,1.0491315,2.9974747,0.2689464,0.26420808,0.34702837,1.2230856,1.4404705,0.7240186,0.35011438,0.0679692,0.3169161,0.8276967,4.473717,Armoni Brooks,2025
33.510597,13.459208,1.4490414,3.7336004,0.36625642,1.2074273,0.59011465,0.8381313,0.44983208,1.3276612,1.8578038,1.7070776,0.5082259,0.24510798,0.8659799,1.423125,4.104855,Ashton Hagans,2025
64.90022,27.223389,4.1925263,8.75041,0.5175136,1.6070087,1.5291955,2.3037765,1.9784049,4.6525416,6.6315923,2.0895998,1.0082842,0.9483543,1.5400006,2.7080216,10.4582615,Ausar Thompson,2025
